year,gwh_online_firm,gwh_online_real_sourced,gwh_pipeline_additional,gwh_online_china
2009,0.0,,0.0,
2010,0.0,,0.0,
2011,0.0,,0.0,
2012,3.0,3.0,0.0,3.0
2013,3.0,3.0,0.0,3.0
2014,13.0,13.0,0.0,13.0
2015,57.0,15.0,0.0,25.0
2016,63.0,19.0,13.0,30.0
2017,67.0,23.0,13.0,34.0
2018,113.0,67.0,168.0,52.0
2019,141.0,94.0,263.0,65.0
2020,235.0,187.0,374.0,116.0
2021,443.0,388.0,1299.0,263.0
2022,1031.0,960.0,2437.0,759.0
2023,1706.0,1616.0,2544.0,1327.0
2024,2232.0,2111.0,2140.0,1737.0
2025,3211.0,3015.0,2339.0,2465.0
2026,3450.0,3254.0,3195.0,2620.0
2027,3450.0,3254.0,3363.0,2620.0
2028,3450.0,3254.0,3618.0,2620.0
2029,3450.0,3254.0,3622.0,2620.0
2030,3450.0,3254.0,3986.0,2620.0
