id,latitude,longitude,geo_note
catl-catl-ningde-plant-ningde-manufacturing-hub-china,26.6617,119.5686,verified (from researcher / prior source)
svolt-svolt-jintan-plant-changzhou-china,31.746,119.573,verified (from researcher / prior source)
microvast-power-systems-huzhou-co-ltd-microvast-huzhou-plant-china,30.87,120.08,verified (from researcher / prior source)
tiamat-tiamat-amiens-boves-sodium-ion-gigafactory-france,49.83,2.4,verified (from researcher / prior source)
freyr-battery-freyr-giga-arctic-mo-i-rana-norway,66.31,14.14,verified (from researcher / prior source)
leclanch-leclanch-willst-tt-germany,48.5333,7.8833,verified (from researcher / prior source)
northvolt-northvolt-six-canada,45.534,-73.283,verified (from researcher / prior source)
panasonic-energy-gigafactory-nevada-united-states,39.5386,-119.4386,verified (from researcher / prior source)
tesla-tesla-giga-texas-4680-cell-plant-united-states,30.2222,-97.6171,verified (from researcher / prior source)
ultium-cells-llc-ultium-cells-warren-lordstown-ohio-united-states,41.16,-80.85,verified (from researcher / prior source)
blueoval-sk-blueoval-sk-battery-park-kentucky-united-states,37.6,-85.89,verified (from researcher / prior source)
sk-on-sk-battery-america-commerce-georgia-united-states,34.16,-83.49,verified (from researcher / prior source)
samsung-sdi-gm-jv-samsung-sdi-gm-battery-plant-new-carlisle-indiana-united-states,41.7,-86.51,verified (from researcher / prior source)
catl-contemporary-amperex-technology-thuringia-gmbh-catl-thuringia-arnstadt-erfurter-kreuz-germany,50.878,10.945,verified (from researcher / prior source)
powerco-powerco-salzgitter-gigafactory-germany,52.157,10.362,verified (from researcher / prior source)
tesla-tesla-gigafactory-berlin-brandenburg-gr-nheide-germany,52.3958,13.7885,verified (from researcher / prior source)
cellforce-group-cellforce-kirchentellinsfurt-germany,48.532,9.141,verified (from researcher / prior source)
sk-on-sk-on-kom-rom-hungary,47.74,18.12,verified (from researcher / prior source)
sk-on-sk-on-iv-ncsa-hungary,47.083,18.75,verified (from researcher / prior source)
lg-energy-solution-lg-energy-solution-wroc-aw-poland,51.006,16.955,verified (from researcher / prior source)
powerco-powerco-sagunto-gigafactory-valencia-spain,39.68,-0.24,verified (from researcher / prior source)
catl-stellantis-jv-catl-stellantis-zaragoza-figueruelas-gigafactory-spain,41.7529,-1.1758,verified (from researcher / prior source)
italvolt-italvolt-scarmagno-gigafactory-italy,45.4,7.83,verified (from researcher / prior source)
toyota-battery-co-ltd-formerly-primearth-ev-energy-peve-toyota-battery-peve-kosai-plant-japan,34.72,137.53,verified (from researcher / prior source)
fixx-energy-formerly-aesc-envision-aesc-aesc-smyrna-tennessee-united-states,35.96,-86.43,verified (from researcher / prior source)
im3ny-imperium3-new-york-im3ny-gigafactory-endicott-new-york-united-states,42.096,-76.045,verified (from researcher / prior source)
gotion-gotion-manteno-illinois-united-states,41.25,-87.83,verified (from researcher / prior source)
our-next-energy-one-circle-united-states,42.2337,-83.482,verified (from researcher / prior source)
factorial-energy-factorial-energy-methuen-united-states,42.726,-71.191,verified (from researcher / prior source)
amprius-technologies-amprius-fremont-united-states,37.497,-121.964,verified (from researcher / prior source)
natron-energy-natron-energy-holland-united-states,42.7527846,-86.1111526,verified (from researcher / prior source)
ford-blueoval-battery-park-michigan-blueoval-battery-park-michigan-marshall-united-states,42.2723,-84.9633,verified (from researcher / prior source)
gree-titan-gree-titanium-new-energy-formerly-yinlong-new-energy-gree-titan-zhuhai-lto-cell-plant-china,22.02,113.23,verified (from researcher / prior source)
catl-catl-liyang-plant-jiangsu-contemporary-amperex-technology-china,31.42813,119.48353,"[GEO=city:Liyang] Coordinates: approximate city-centroid of Liyang, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
catl-catl-yibin-power-battery-base-china,28.7593,104.63994,"[GEO=city:Yibin] Coordinates: approximate city-centroid of Yibin, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
catl-catl-zhaoqing-plant-china,23.04893,112.46091,"[GEO=city:Zhaoqing] Coordinates: approximate city-centroid of Zhaoqing, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
catl-catl-yichun-battery-production-base-china,27.83333,114.4,"[GEO=city:Yichun] Coordinates: approximate city-centroid of Yichun, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
catl-catl-xiamen-battery-base-xiamen-times-new-energy-china,24.47979,118.08187,"[GEO=city:Xiamen] Coordinates: approximate city-centroid of Xiamen, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
catl-catl-luoyang-zhongzhou-times-new-energy-battery-base-china,30.29493,108.03372,"[GEO=city:Zhongzhou] Coordinates: approximate city-centroid of Zhongzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
catl-catl-xining-plant-qinghai-times-new-energy-technology-co-ltd-china,36.62554,101.75739,"[GEO=city:Xining] Coordinates: approximate city-centroid of Xining, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
catl-catl-guiyang-gui-an-battery-production-base-china,26.58333,106.71667,"[GEO=city:Guiyang] Coordinates: approximate city-centroid of Guiyang, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
catl-catl-jining-plant-shandong-times-energy-storage-and-power-battery-base-china,35.405,116.58139,"[GEO=city:Jining] Coordinates: approximate city-centroid of Jining, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
calb-calb-changzhou-jintan-battery-base-china,31.77359,119.95401,"[GEO=city:Changzhou] Coordinates: approximate city-centroid of Changzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
catl-catl-shanghai-lingang-battery-base-nanhui-new-city-china,31.22222,121.45806,"[GEO=city:Shanghai] Coordinates: approximate city-centroid of Shanghai, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
calb-calb-chengdu-plant-sichuan-base-china,30.66667,104.06667,"[GEO=city:Chengdu] Coordinates: approximate city-centroid of Chengdu, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
calb-calb-wuhan-base-zhonghang-xinhang-wuhan-power-and-energy-storage-battery-base-china,30.58333,114.26667,"[GEO=city:Wuhan] Coordinates: approximate city-centroid of Wuhan, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
calb-calb-jiangmen-base-xinhui-china,22.58333,113.08333,"[GEO=city:Jiangmen] Coordinates: approximate city-centroid of Jiangmen, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
calb-calb-xiamen-battery-base-china,24.47979,118.08187,"[GEO=city:Xiamen] Coordinates: approximate city-centroid of Xiamen, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
calb-calb-meishan-power-battery-and-energy-storage-base-pengshan-meishan-sichuan-china,30.04392,103.83696,"[GEO=city:Meishan] Coordinates: approximate city-centroid of Meishan, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
calb-calb-hefei-plant-changfeng-xiatang-battery-base-china,31.86389,117.28083,"[GEO=city:Hefei] Coordinates: approximate city-centroid of Hefei, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
findreams-battery-co-ltd-byd-findreams-chongqing-bishan-blade-battery-plant-china,29.56026,106.55771,"[GEO=city:Chongqing] Coordinates: approximate city-centroid of Chongqing, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
byd-findreams-battery-byd-findreams-xcmg-findreams-xuzhou-blade-battery-plant-china,34.20442,117.28386,"[GEO=city:Xuzhou] Coordinates: approximate city-centroid of Xuzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
wenzhou-findreams-battery-co-ltd-byd-findreams-wenzhou-battery-base-qiaotou-yongjia-china,27.99942,120.66682,"[GEO=city:Wenzhou] Coordinates: approximate city-centroid of Wenzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
byd-findreams-battery-zhengzhou-fudi-battery-co-ltd-byd-findreams-fudi-zhengzhou-battery-plant-china,34.75778,113.64861,"[GEO=city:Zhengzhou] Coordinates: approximate city-centroid of Zhengzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
byd-byd-findreams-xining-plant-qinghai-findreams-battery-co-ltd-china,36.62554,101.75739,"[GEO=city:Xining] Coordinates: approximate city-centroid of Xining, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
byd-findreams-battery-byd-findreams-bengbu-plant-china,32.94083,117.36083,"[GEO=city:Bengbu] Coordinates: approximate city-centroid of Bengbu, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
findreams-battery-byd-byd-findreams-shenzhen-plant-kengzi-pingshan-base-china,22.54554,114.0683,"[GEO=city:Shenzhen] Coordinates: approximate city-centroid of Shenzhen, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
findreams-battery-byd-byd-findreams-xi-an-plant-china,34.25833,108.92861,"[GEO=city:Xian] Coordinates: approximate city-centroid of Xian, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
eve-energy-eve-energy-huizhou-plant-zhongkai-high-tech-zone-production-base-china,23.11147,114.41523,"[GEO=city:Huizhou] Coordinates: approximate city-centroid of Huizhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
eve-energy-eve-energy-jingmen-production-base-china,31.03361,112.20472,"[GEO=city:Jingmen] Coordinates: approximate city-centroid of Jingmen, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
eve-energy-eve-energy-wuhan-plant-wuhan-r-d-branch-energy-storage-institute-china,30.58333,114.26667,"[GEO=city:Wuhan] Coordinates: approximate city-centroid of Wuhan, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
eve-energy-eve-energy-chengdu-power-and-energy-storage-battery-base-china,30.66667,104.06667,"[GEO=city:Chengdu] Coordinates: approximate city-centroid of Chengdu, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
hefei-gotion-high-tech-power-energy-co-ltd-gotion-hefei-plant-vw-unified-standard-cell-base-xinzhan-district-china,31.86389,117.28083,"[GEO=city:Hefei] Coordinates: approximate city-centroid of Hefei, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
gotion-high-tech-gotion-lujiang-plant-lujiang-high-tech-zone-base-china,31.23357,117.28057,"[GEO=city:Lujiang] Coordinates: approximate city-centroid of Lujiang, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
gotion-high-tech-gotion-nanjing-plant-china,32.06167,118.77778,"[GEO=city:Nanjing] Coordinates: approximate city-centroid of Nanjing, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
gotion-high-tech-qingdao-gotion-battery-plant-laixi-china,36.06488,120.38042,"[GEO=city:Qingdao] Coordinates: approximate city-centroid of Qingdao, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
tangshan-guoxuan-battery-co-ltd-wholly-owned-subsidiary-of-hefei-gotion-high-tech-power-energy-gotion-tangshan-plant-tangshan-guoxuan-battery-co-ltd-china,39.64381,118.18319,"[GEO=city:Tangshan] Coordinates: approximate city-centroid of Tangshan, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
shanghai-electric-gotion-new-energy-technology-nantong-co-ltd-shanghai-electric-gotion-new-energy-nantong-energy-storage-battery-base-china,31.22222,121.45806,"[GEO=city:Shanghai] Coordinates: approximate city-centroid of Shanghai, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
liuzhou-gotion-battery-co-ltd-gotion-high-tech-subsidiary-gotion-liuzhou-power-battery-base-china,24.32405,109.40698,"[GEO=city:Liuzhou] Coordinates: approximate city-centroid of Liuzhou, China via offline geonamescache gazetteer (2026-07-20) - NOT a verified plant location."
