CATL Fuding,CATL,China
BYD FinDreams Changsha plant,BYD FinDreams,China
BYD FinDreams Wuwei plant,BYD FinDreams,China
BYD FinDreams Fuzhou plant,BYD FinDreams,China
BYD FinDreams Jinan plant,BYD FinDreams,China
BYD FinDreams Shaoxing plant,BYD FinDreams,China
BYD FinDreams Huizhou plant,BYD FinDreams,China
BYD FinDreams Changzhou plant,BYD FinDreams,China
FAW-FinDreams Changchun plant,FAW-FinDreams,China
Weichai-FinDreams Yantai plant,Weichai-FinDreams,China
EVE Energy Yuxi plant,EVE Energy,China
EVE Energy Qujing plant,EVE Energy,China
EVE Energy Qidong plant,EVE Energy,China
EVE Energy Yancheng plant,EVE Energy,China
EVE Energy Ningbo plant,EVE Energy,China
EVE Energy Shenyang plant,EVE Energy,China
Gotion Tongcheng plant,Gotion,China
Gotion Chuzhou plant,Gotion,China
Gotion Yichun plant,Gotion,China
Gotion Wuhu plant,Gotion,China
CALB Xinyang plant,CALB,China
CALB Handan plant,CALB,China
CALB Jinhua plant,CALB,China
Sunwoda Nanchang plant,Sunwoda,China
Sunwoda Yiwu plant,Sunwoda,China
Sunwoda Zhuhai plant,Sunwoda,China
Farasis Wuhu plant,Farasis,China
Lishen Mianyang plant,Lishen,China
Great Power Zhumadian plant,Great Power,China
Great Power Guangde plant,Great Power,China
Great Power Qingdao plant,Great Power,China
