Envision AESC Wuxi Plant,Envision AESC,China
Envision AESC Ordos Plant,Envision AESC,China
Envision AESC Cangzhou Plant,Envision AESC,China
Envision AESC Shiyan Plant,Envision AESC,China
Highstar Qidong Plant,Highstar Battery,China
Highstar Zhuhai Plant,Highstar Battery,China
Tianneng Changxing Gigafactory,Tianneng Battery,China
Narada Hangzhou Lin'an Plant,Narada Power,China
Ganfeng LiEnergy Xinyu Plant,Ganfeng LiEnergy,China
Ganfeng LiEnergy Chongqing Plant,Ganfeng LiEnergy,China
Ganfeng LiEnergy Dongguan Plant,Ganfeng LiEnergy,China
CosMX Zhuhai Plant,Zhuhai CosMX Battery,China
CosMX Chongqing Plant,Zhuhai CosMX Battery,China
Penghui Liuzhou Base,Penghui Energy,China
BAK Zhengzhou Plant,BAK Battery,China
BAK Shenzhen Plant,BAK Battery,China
Microvast Huzhou Plant,Microvast,China
Zenergy Changshu Plant,Jiangsu Zenergy,China
Phylion Suzhou Plant,Phylion Battery,China
Phylion Chuzhou Plant,Phylion Battery,China
Camel Xiangyang New Energy Plant,Camel Group,China
Wanxiang A123 Hangzhou Plant,Wanxiang A123,China
Desay Huizhou Plant,Huizhou Desay Battery,China
Hina Fuyang Plant,Hina Battery,China
DFD Jiaozuo Plant,DFD New Energy,China
DFD Nanning Plant,DFD New Energy,China
Li-FUN Zhuzhou Plant,Li-FUN Technology,China
Zhuoneng Shenzhen Plant,Zhuoneng New Energy,China
Coslight Harbin Plant,Coslight,China
