HiNa Battery Fuyang sodium-ion plant,HiNa Battery,China
Zoolnasm Guangde sodium-ion gigafactory,Zoolnasm,China
Yangquan sodium-ion battery line,Huayang Group / Zhongke Haina,China
Zhongna Energy Guangde sodium-ion base,Zhongna Energy,China
Zhongna Energy Storage Yangzhou base,Zhongna Energy,China
Jiangsu Transimage sodium-ion plant Gaoyou,Transimage / Jiangsu Chuanyi,China
Suining sodium-ion plant,Guangde Qingna Technology,China
BenAn Energy Taicang sodium-ion plant,BenAn Energy,China
Veken Ningbo sodium-ion plant,Veken,China
Veken Nanchang industrial park,Veken,China
Great Power Ulanqab sodium-ion and storage cell plant,Great Power,China
Pylontech Hefei Feixi LFP cell plant,Pylontech,China
Pylontech Shanghai LFP cell base,Pylontech,China
Narada Wuxi LFP cell plant,Narada Power,China
Narada Jiuquan storage cell base,Narada Power,China
Trina Storage Changzhou LFP cell gigafactory,Trina Storage,China
Envision AESC Yichang storage super factory,Envision AESC,China
