Northvolt Drei,Northvolt,Germany
CATL Erfurt,CATL,Germany
Tesla Grünheide,Tesla,Germany
PowerCo Salzgitter,PowerCo,Germany
ACC Kaiserslautern,Automotive Cells Company,Germany
Cellforce Kirchentellinsfurt,Cellforce Group,Germany
Verkor Dunkirk,Verkor,France
ACC Douvrin,Automotive Cells Company,France
Envision AESC Douai,Envision AESC,France
CATL Debrecen,CATL,Hungary
Samsung SDI Göd,Samsung SDI,Hungary
SK On Komárom,SK On,Hungary
SK On Iváncsa,SK On,Hungary
LG Energy Solution Wrocław,LG Energy Solution,Poland
PowerCo Sagunto,PowerCo,Spain
CATL Stellantis Zaragoza,"CATL-Stellantis JV",Spain
Envision AESC Navalmoral de la Mata,Envision AESC,Spain
ACC Termoli,Automotive Cells Company,Italy
Italvolt Scarmagno,Italvolt,Italy
Eni Storage Systems Gigafactory,Eni Storage Systems,Italy
Northvolt Ett Skellefteå,Northvolt,Sweden
Morrow Batteries Arendal,Morrow Batteries,Norway
Envision AESC Sunderland,Envision AESC,UK
Agratas Somerset,Agratas,UK
InoBat Šurany,InoBat,Slovakia
InoBat Ćuprija,InoBat,Serbia
Siro Gemlik,Siro,Turkey
"YİĞİT AKÜ-Ganfeng gigafactory",YİĞİT AKÜ-Ganfeng JV,Turkey
