CALB Sines,CALB,Portugal
Hithium Navarra,Hithium,Spain
ProLogium Dunkirk,ProLogium,France
Tiamat Amiens,Tiamat,France
Blue Solutions Quimper,Blue Solutions,France
Saft Nersac,Saft,France
FREYR Mo i Rana,FREYR Battery,Norway
Beyonder,Beyonder,Norway
Elinor Batteries,Elinor Batteries,Norway
Customcells Itzehoe,Customcells,Germany
Customcells Tübingen,Customcells,Germany
Leclanché Willstätt,Leclanché,Germany
Blackstone Resources Döbeln,Blackstone Resources,Germany
Liacon Itzehoe,Liacon,Germany
Basquevolt Vitoria-Gasteiz,Basquevolt,Spain
FAAM Teverola,Seri Industrial,Italy
Volklec Coventry,Volklec,United Kingdom
AMTE Power Thurso,AMTE Power,United Kingdom
Britishvolt Blyth,Britishvolt,United Kingdom
Nyobolt Sunderland,Nyobolt,United Kingdom
ElevenES Subotica,ElevenES,Serbia
Altris Sandviken,Altris,Sweden
Pomega Samsun,Pomega Energy,Turkey
Ford-LG Kocaeli,Ford Otosan,Turkey
