Panasonic Energy Suminoe Factory,Panasonic Energy,Japan
Panasonic Energy Kaizuka Factory,Panasonic Energy,Japan
Panasonic Energy Wakayama Factory,Panasonic Energy,Japan
Panasonic Energy Oizumi Factory,Panasonic Energy / Subaru,Japan
PPES Himeji Plant,Prime Planet Energy & Solutions,Japan
PPES Tokushima Plant,Prime Planet Energy & Solutions,Japan
Toyota Fukuoka (Kanda) Battery Plant,Toyota,Japan
Toyota Teiho Plant,Toyota,Japan
Toyota Battery (PEVE) Kosai Plant,Toyota Battery / Primearth EV Energy,Japan
Toyota Battery (PEVE) Miyagi Plant,Toyota Battery / Primearth EV Energy,Japan
AESC Zama Plant,AESC,Japan
AESC Ibaraki Plant,AESC (Envision AESC),Japan
Blue Energy Fukuchiyama (Osadano) Plant,Blue Energy (Honda / GS Yuasa),Japan
Honda GS Yuasa New Battery Plant,Blue Energy (Honda / GS Yuasa),Japan
Toshiba Kashiwazaki Plant,Toshiba,Japan
Toshiba Yokohama Plant,Toshiba,Japan
Murata Yasu Plant,Murata,Japan
