Kusatsu Plant (Lithium Energy Japan),GS Yuasa,Japan
Ono Works,Maxell,Japan
Kawasaki Plant,Eliiy Power,Japan
Echizen Plant,APB Corporation,Japan
Washizu Plant (Kosai),FDK,Japan
Ritto film battery pilot line,Sekisui Chemical,Japan
Daejeon all-solid-state pilot line,SK On,South Korea
Suwon S-Line all-solid-state pilot,Samsung SDI,South Korea
Siheung Plant,Kokam,South Korea
Sella 2 (Eumseong),Kokam,South Korea
Chungju Plant,Enertech International,South Korea
Gijang Plant (Busan),Kumyang,South Korea
Cheonan Plant,EIG,South Korea
Nonsan Plant,Vitzrocell,South Korea
Daejeon flexible battery pilot,LiBEST,South Korea
