NextStar Energy,NextStar Energy,Canada
Northvolt Six,Northvolt,Canada
"PowerCo St. Thomas gigafactory",PowerCo,Canada
Honda Alliston battery plant,Honda,Canada
"E-One Moli Maple Ridge",E-One Moli Energy,Canada
Gotion Kenitra gigafactory,Gotion High-Tech,Morocco
LG Energy Solution Morocco,LG Energy Solution,Morocco
Statevolt Ras Al Khaimah,Statevolt,United Arab Emirates
Recharge Industries Geelong,Recharge Industries,Australia
Energy Renaissance Tomago,Energy Renaissance,Australia
Bravo Motor Company gigafactory,Bravo Motor Company,Brazil
