Gelion Fairfield,Gelion,Australia
Li-S Energy Geelong,Li-S Energy,Australia
PowerCap Queensland,PowerCap,Australia
Sodium Batteries Australia,Sodium Batteries Australia,Australia
Allegro Energy Warners Bay,Allegro Energy,Australia
Addionics Israel pilot line,Addionics,Israel
Afrivolt Atlantis gigafactory,Afrivolt,South Africa
Megamillion Energy gigafactory,Megamillion Energy Group,South Africa
Salient Energy Dartmouth,Salient Energy,Canada
e-Zinc Toronto,e-Zinc,Canada
UniLiB La Plata,Y-TEC (YPF),Argentina
