Gigafactory Nevada,Panasonic Energy,United States
Tesla Giga Texas 4680 Cell Plant,Tesla,United States
Panasonic Energy De Soto,Panasonic Energy,United States
LG Energy Solution Michigan (Holland),LG Energy Solution,United States
LG Energy Solution Arizona (Queen Creek),LG Energy Solution,United States
Ultium Cells Warren (Lordstown Ohio),Ultium Cells,United States
Ultium Cells Spring Hill (Tennessee),Ultium Cells,United States
Ultium Cells Lansing (Michigan),LG Energy Solution,United States
L-H Battery Company (Jeffersonville Ohio),Honda-LG Energy Solution JV,United States
BlueOval SK Battery Park Kentucky,BlueOval SK,United States
BlueOval City Battery Plant (Stanton Tennessee),SK On,United States
SK Battery America (Commerce Georgia),SK On,United States
StarPlus Energy (Kokomo Indiana),StarPlus Energy,United States
Samsung SDI-GM Battery Plant (New Carlisle Indiana),Samsung SDI-GM JV,United States
Toyota Battery Manufacturing North Carolina (Liberty),Toyota,United States
AESC Kentucky (Bowling Green),AESC,United States
AESC South Carolina (Florence),AESC,United States
AESC Smyrna (Tennessee),AESC,United States
American Battery Factory (Tucson Arizona),American Battery Factory,United States
iM3NY Gigafactory (Endicott New York),iM3NY,United States
Gotion Manteno (Illinois),Gotion,United States
ONE Circle (Van Buren Township Michigan),Our Next Energy,United States
Amprius Colorado (Brighton),Amprius Technologies,United States
Microvast Clarksville (Tennessee),Microvast,United States
