Electrovaya Jamestown,Electrovaya,United States
QuantumScape San Jose,QuantumScape,United States
Factorial Energy Methuen,Factorial Energy,United States
Solid Power Louisville,Solid Power,United States
Enovix Fremont,Enovix,United States
Amprius Fremont,Amprius Technologies,United States
Natron Energy Holland,Natron Energy,United States
Peak Energy Sacramento,Peak Energy,United States
Eos Energy Turtle Creek,Eos Energy Enterprises,United States
ESS Inc Wilsonville,ESS Inc,United States
Form Energy Weirton,Form Energy,United States
Ambri Marlborough,Ambri,United States
Statevolt Imperial Valley,Statevolt,United States
Lyten San Jose,Lyten,United States
SES AI Woburn,SES AI,United States
24M Technologies Cambridge,24M Technologies,United States
UNIGRID San Diego,UNIGRID Battery,United States
Inlyte Energy Hayward,Inlyte Energy,United States
Coreshell San Leandro,Coreshell,United States
Zeta Energy Houston,Zeta Energy,United States
"BlueOval Battery Park Michigan, Marshall",Ford,United States
Dragonfly Energy Reno,Dragonfly Energy,United States
Nanotech Energy Chico,Nanotech Energy,United States
Sakuu Silicon Valley,Sakuu,United States
EnerVenue Shelby County,EnerVenue,United States
